и	i
каждый	ˈkaʐdɨj
ко	kʷɜ
нему	ˈnɛmo
увидел	ʊˈvidɪɫ
ну	nu
знает	ˈznajɪt
глазами	ɡɫɐˈzamɪ
пошел	pɐˈʂoɫ
оно	ɐˈno
кажется	ˈkaʐɨt͡sə
мной	mnoj
точно	ˈtɔt͡ʃno
стоял	stɐˈjaɫ
равно	ˈravno
наконец	nəkɐˈnet͡s
вокруг	vɐˈkruk
также	ˈtaɡʐɨ
других	drʊˈɡix
ними	ˈnimɪ
думал	ˈduməɫ
говорить	ɡəvɐˈrit
будут	ˈbudʊt
первый	ˈpervɨj
пять	pjat
год	ɣot
самого	səmɐˈvo
среди	ˈsrɛdi
стали	ˈstalɪ
стоит	ˈstoɪt
сюда	sʊˈda
одно	ɐdˈno
месте	ˈmeste
двух	dvux
дня	dna
могут	ˈmoɡʊt
какая	kɐˈkajə
жить	ʐɨt
году	ˈɡodʊ
деле	ˈdele
туда	tʊˈda
г	ghe
таких	tɐˈkix
вопрос	vɐˈpros
говорю	ɡəvɐˈru
чтоб	ʂtop
вроде	ˈvrode
слишком	ˈsliʂkəm
рукой	ruˈkoj
такого	tɐˈkovə
отец	oˈtɛt͡s
сами	samiː
взял	vzaɫ
дом	dom
наш	nasz
моя	ˈmɔjɐ
немного	nɪˈmnoɡə
сидел	sɪˈdeɫ
мать	mat
пор	pɔr
идет	
буду	ˈbudu
руками	rʊˈkamɪ
такая	taˈkaja
начал	ˈnat͡ɕɪɫ
конце	kɐnˈt͡sɛ
той	toj
против	proˈtif
действительно	dɪjstˈvitɪlnə
нашей	ˈnaʂɨj
таким	tɐˈkim
которую	kɐˈtorʊjʊ
зачем	zɐˈt͡ɕem
тихо	ˈtixo
дела	ˈdie̯la
моей	mɐˈjej
т	te
казалось	kɐˈzaɫəs
ночь	ˈnoːt͡ɕɪ
раньше	ˈranʂɨ
образом	ˈobrəzəm
видно	ˈvidnə
сделать	ˈzdeɫət
посмотрел	pəsmɐˈtreɫ
войны	vɐjˈnɨ
наши	ˈnaʃi
домой	dɐˈmoj
особенно	ɐˈsobɪnːə
кроме	ˈkrɔmɛ
смотрел	smɐˈtreɫ
другие	drʊˈɡije
хочу	xɐˈt͡ɕu
работы	rɐˈbotɨ
мало	ˈmaɫə
слово	ˈsɫɔvo
одну	ɐdˈnu
большой	bɐlˈʂoj
товарищ	tɐˈvarɪɕː
друга	ˈdruɡə
мои	ˈmɔi
либо	ˈlibə
иногда	ɪnɐɡˈda
минут	miˈnut
этому	ˈɛtəmʊ
должны	dɐɫʐˈnɨ
часто	ˈt͡ɕastə
правда	ˈpravdɐ
самое	ˈsaməjə
знаешь	ˈznajɪʂ
двадцать	ˈdvat͡sːɨt
сама	sɑˈmɑ
кому	koˈmu
вышел	ˈvɨʂɨɫ
второй	wieder
однако	ɐdˈnakə
глаз	ɡɫas
решил	rɛˈʃiɫ
детей	dɪˈtej
самый	ˈsamɨj
четыре	t͡ɕɪˈtɨrɪ
сделал	ˈzdeɫəɫ
например	nɐˈprimɛr
места	miesta
вперед	ʍpeˈrɛd
стол	stoł
своем	
заметил	zɐˈmetɪɫ
всей	fsej
стала	ˈstaɫa
медленно	ˈmedlɪnːə
город	ˈɡorət
откуда	ɐtˈkudə
могли	moˈɡli
женщина	ˈʐɛnɕːɪnə
свет	świet
тобой	tɐˈboj
хотелось	xɐˈteɫəs
довольно	dɐˈvolnə
работу	rɐˈbotʊ
десять	ˈdɛsat
воды	vɐˈdɨ
вполне	fpɐɫˈne
какое	kɐˈkojə
руках	ruˈkax
двери	ˈdvɛri
пусть	pust
вся	fsa
самой	
города	ˈɡorədə
момент	moˈmɛnt
говорят	ɡoˈvɔrɐt
далеко	dəlɪˈko
котором	kɐˈtorəm
возле	ˈvozle
мир	mir
никак	nɪˈkak
знать	znat
едва	ɛdˈva
нашего	ˈnaʂɨvə
понять	pɐˈnæt
будем	ˈbudɪm
затем	zɐˈtem
плохо	ˈpɫoxə
шел	ʃêl
взгляд	vzɡlat
думаю	ˈduməjʊ
мимо	ˈmimə
имеет	ɪˈmejɪt
землю	ˈzemlʊ
б	be
годы	ˈɡodɨ
жена	ʒɛˈna
своими	svɐˈimɪ
часть	t͡ɕæst
наших	ˈnaʂɨx
которое	
пришел	
дней	dnej
нами	ˈnamɪ
вовсе	ˈvofse
час	t͡ʂas
спросила	sprɐˈsiɫə
лица	ˈlit͡sa
легко	lɪxˈko
сквозь	skvos
поэтому	pɐˈɛtəmʊ
вниз	vnis
меньше	ˈmenʂɨ
е	ie
менее	ˈmenɪje
наверное	nɐˈvernəjə
ту	tu
знаете	ˈznajɪte
каким	kɐˈkim
какую	kɐˈkujʊ
бывает	bɨˈvajɪt
сердце	ˈsert͡sə
голосом	ˈɡoɫəsəm
моего	məjɪˈvo
ясно	ˈja̟sno
вами	βaːmiː
часов	t͡ɕɪˈsof
должно	dɐɫʐˈno
могла	moˈɡɫa
сил	siɫ
земле	zɪˈmle
машины	mɐˈʂɨnɨ
спокойно	spoˈkɔjno
мира	ˈmirə
обычно	ɐˈbɨt͡ɕnə
около	ˈɔkoɫo
минуту	mɪˈnutʊ
понимаю	pənɪˈmajʊ
своему	svəjɪˈmu
вид	vit
смерти	ˈsmertɪ
мое	ˈmɔɛ
тысяч	ˈtɨsɪt͡ɕ
разговор	ˈrazɡovor
пути	pʊˈti
говоря	ɡoˈvɔrɐ
оказался	ɐkɐˈzaɫsə
идти	ɪˈtːi
головы	ɡəɫɐˈvɨ
улице	ˈulɪt͡sɨ
столько	ˈstolkə
доме	ˈdome
та	ta⁵
скоро	ˈskɔro
подошел	
работать	rɐˈbotət
отца	ɐˈt͡sːa
следует	ˈsledʊjɪt
трудно	ˈtrudno
иначе	ɪˈnat͡ɕe
ночью	ˈnot͡ɕjʊ
комнату	ˈkomnətʊ
первых	ˈpervɨx
сел	sel
пришлось	prɪʂˈɫos
которым	
глазах	ɡɫɐˈzax
хочешь	ˈxot͡ɕɪʂ
известно	izˈvɛsno
молча	ˈmoɫt͡ɕə
хочет	ˈxot͡ɕɪt
сильно	ˈsilnə
власти	ˈvɫasti
прежде	ˈprɛʐde
денег	ˈdenɪk
молодой	məɫɐˈdoj
воду	ˈvodʊ
завтра	ˈzaftrə
ка	ˈka
части	ˈt͡ʃasti
мысли	ˈmɨslɪ
глядя	ˈɡlædə
одним	ɐdˈnim
конца	kɐnˈt͡sa
успел	ʊˈspeɫ
окна	ˈɔkna
начала	nɐt͡ʃɐˈɫa
одном	ɐdˈnom
общем	
удалось	ʊdɐˈɫos
кем	kɪ̞m
часа	t͡ʃɐˈsɤ
никого	ˈnikoɡo
другое	drʊˈɡojə
силы	ˈsiɫɨ
страны	strɐˈnɨ
вместо	ˈvmɛsto
достаточно	dɐˈstatət͡ɕnə
произнес	
мире	ˈmire
кое	koˈɛ
выше	ˈvɨʂɨ
продолжал	prədɐɫˈʐaɫ
истории	isˈtɔɾii
никаких	nɪkɐˈkix
имя	ˈimə
вернулся	vɪrˈnuɫsə
сначала	snɐˈt͡ɕaɫə
является	jɪˈvlæjɪt͡sə
комнате	ˈkomnəte
старик	stɐˈrik
главное	ˈɡɫavnəjə
мама	mama
машину	mɐˈʂɨnʊ
стояли	stɐˈjælɪ
каких	kɐˈkix
рот	rot
помню	ˈpomnʊ
должна	dɐɫʐˈna
думать	ˈdumət
виде	ˈvidɛ
последний	pɐsˈlednɪj
дети	ˈdɛti
вновь	vnof
встал	fstaɫ
говорили	ɡoˈvɔrili
лицом	lɪˈt͡som
сын	sən
разве	ˈrazve
ночи	ˈnot͡ɕɪ
самым	
пол	poɫ
матери	ˈmatɪrɪ
шли	ʂli
неожиданно	nɪɐˈʐɨdənːə
дороге	dɐˈroɡe
придется	
любил	lʉˈbiɫ
женщины	ˈʐɛnɕːɪnɨ
поднял	ˈpodnɪɫ
вижу	ˈviʐʊ
какого	kɐˈkovə
ответ	ɐtˈvet
капитан	kɐpiˈtan
первого	ˈpervəvə
голове	ɡəɫɐˈve
виду	ˈvidʊ
свете	ˈsvete
моему	məjɪˈmu
смотреть	smɐˈtret
мою	mɐˈju
городе	ˈɡorəde
другом	drʊˈɡom
обратно	oˈbratno
ушел	
ребята	rɪˈbatə
случай	ˈsɫut͡ʃɐj
вспомнил	ˈfspomnɪɫ
небо	ˈnɛbɔ
народ	naˈrot
утра	ˈutra
такую	taˈkuju
сто	sto
стола	ˈstɔɫa
случилось	sɫʊˈt͡ɕiɫəs
земли	zɪˈmli
мере	ˈmere
дни	dni
многие	ˈmnoɡɪje
очередь	ˈot͡ɕɪrɪt
тело	ˈtɛɫɔ
внимание	vniˈmaniɛ
парень	ˈparɪn
мысль	mɨsl
дорогу	dɐˈroɡʊ
солнце	ˈsɔɫnt͡sɛ
скорее	skɐˈreje
путь	put
крикнул	ˈkriknʊɫ
новый	ˈnovɨj
невозможно	nɛˈvɔzmɔʒnɔ
вверх	vːerx
сорок	ˈsorək
найти	nɐjˈti
другого	drʊˈɡovə
человеком	t͡ɕɪɫɐˈvekəm
взять	vzæt
остался	ɐˈstaɫsə
окно	ˈɔknɔ
впервые	fpɪrˈvɨje
слышал	ˈsɫɨʂəɫ
весьма	vɪsˈma
сих	six
осталось	ɐˈstaɫəs
стены	stɪˈnɨ
никакого	nɪkɐˈkovə
самых	
трех	
кивнул	kɪvˈnuɫ
раза	ˈrazə
самые	
книги	ˈkniɡi
дал	daɫ
хочется	ˈxot͡ɕɪt͡sə
стране	strɐˈne
столь	stol
утром	ˈutrəm
пошли	pɐʂˈli
ногами	nɐˈɡamɪ
часы	t͡ɕɪˈsɨ
получил	poˈɫut͡ʃiɫ
концов	kɐnˈt͡sof
оказалось	ɐkɐˈzaɫəs
слов	sɫof
хуже	ˈxuʐɨ
крови	ˈkrovɪ
первой	ˈperʋoj
связи	ˈsvæzɪ
генерал	ɡɛnɛˈraɫ
голова	body
мол	water
лежал	lɛˈʒa̟ɫ
письмо	pɪsˈmo
каждого	kəʐdəvə
воздух	ˈvɔzdux
шесть	6
знали	ˈznalɪ
течение	tɛˈt͡ʃɛniɛ
солдат	soɫˈdat
вещи	ˈveɕːɪ
стояла	stɐˈjaɫə
жил	ʐɨɫ
вечер	ˈvɛt͡ʃɛr
осторожно	ɐstɐˈroʐnə
слегка	slɪxˈka
стать	stat
месяц	miesiac
наша	ˈnaʂa
остановился	ɐstənɐˈviɫsə
тридцать	ˈtrit͡sːɨt
всему	fsɪˈmu
чему	t͡ɕɪˈmu
возможно	vɐzˈmoʐnə
дядя	ˈdædə
пожалуйста	pɐˈʐaɫʊstə
поскольку	pɐˈskolkʊ
работа	ˈrabotɐ
почувствовал	pɐˈt͡ɕustvəvəɫ
внимания	vnɪˈmanɪjə
груди	ˈɡrudɪ
черт	t͡ɕert
другим	drʊˈɡim
новые	ˈnovɨje
речь	ret͡ɕ
д	de
видеть	ˈvidɪt
улыбнулся	ʊɫɨbˈnuɫsə
столом	stɐˈɫom
моих	mɐˈix
неделю	nɪˈdelʊ
спиной	spɪˈnoj
впереди	fpɪrɪˈdi
партии	ˈpartɪɪ
вчера	ˈft͡ʃɛrɐ
рублей	rʊˈblej
м	em
рук	ruk
возможность	vɐzˈmoʐnəst
имел	ɪˈmeɫ
видимо	ˈvidɪmə
любви	lʊbˈvi
происходит	prəɪˈsxodɪt
дороги	ˈdorəɡɪ
мальчик	ˈmalt͡ɕɪk
люблю	luˈblu
спать	spat
страшно	ˈstraʃnɔ
народа	nɐˈrodə
человеку	t͡ɕɪɫɐˈvekʊ
трубку	ˈtrupkʊ
показалось	pəkɐˈzaɫəs
любовь	lʊˈbof
обязательно	ɐbɪˈzatɪlnə
руке	rʊˈke
вечером	ˈvet͡ɕɪrəm
резко	ˈreskə
будешь	ˈbudɪʂ
чаще	ˈt͡ɕæɕːe
номер	ˈnɔmɛr
другую	drʊˈɡujʊ
ибо	ˈibə
узнал	ʊzˈnaɫ
произошло	prəɪzɐʂˈɫo
любой	lʊˈboj
нашел	
однажды	ɐdˈnaʐdɨ
смотрит	ˈsmotrɪt
язык	jazyk
понимал	pənɪˈmaɫ
никому	ˈnikomo
армии	ˈarmɪɪ
поднялся	pɐdˈnaɫsə
явно	ˈja̟vno
забыл	zɐˈbɨɫ
живет	
начальник	nɐˈt͡ɕælnɪk
конец	koˈnɛt͡s
последние	pɐsˈlednɪje
сына	ˈsɨnə
общества	ˈopɕːɪstvə
двое	ˈdvoje
море	moˈrɛ
нечего	ˈnet͡ɕɪvə
сидели	sɪˈdelɪ
н	en
брат	brat
недавно	nɪˈdavnə
нос	nos
всеми	ˈfsemɪ
дать	dat
взглядом	ˈvzɡladəm
ради	rȁdi
писать	pɪˈsat
волосы	ˈvoɫəsɨ
чувствовал	ˈt͡ɕustvəvəɫ
становится	stɐˈnovɪt͡sə
писал	ˈpisɐɫ
лес	les
работе	rɐˈbote
лице	liˈt͡sɛ
старый	ˈstarɨj
маленький	ˈmalɪnkɪj
ногу	ˈnoɡʊ
души	ˈduʃi
говорила	ɡoˈvɔriɫɐ
поле	ˈpole
прошел	
улицу	ˈulɪt͡sʊ
машина	mäˈʂɯ̞nä
многих	
станет	ˈstanɪt
некоторые	ˈnekətərɨje
услышал	ʊsˈɫɨʂəɫ
бросил	ˈbrosɪɫ
губы	ɡʊˈbɨ
право	ˈpravo
иметь	ɪˈmet
ждать	ʐdat
вздохнул	vzdɐxˈnuɫ
могло	moˈɡɫɔ
оттуда	ɐˈtːudə
пожалуй	pɐˈʐaɫʊj
девушка	ˈdevʊʂkə
господин	ɡospoˈdin
права	prava
вон	vɑŋ
снег	śnieh
разных	ˈraznɨx
открыл	ɐtˈkrɨɫ
берегу	ˈberɪɡʊ
чувство	ˈt͡ʃu̟fstvo
плечами	plɪˈt͡ɕæmɪ
сидит	sɪˈdit
хозяин	xɐˈzaɪn
вдоль	vdol
громко	ˈɡromkə
лесу	ˈlesʊ
прежнему	
вода	voˈda
полу	ˈpoɫʊ
века	ˈvɛka
двумя	dvʊˈma
таком	tɐˈkom
всякий	ˈfsækɪj
нового	ˈnovəvə
работал	rɐˈbotəɫ
тела	ˈteɫə
отсюда	ɐt͡sˈsudə
вопросы	vɐˈprosɨ
немедленно	nɪˈmedlɪnːə
имени	ˈimɪnɪ
людям	ˈlʉdəm
кровь	krof
системы	sɪˈstemɨ
твой	tvoj
самому	səmɐˈmu
смысле	ˈsmɨsle
счет	
разные	ˈraznɨje
внимательно	vnɪˈmatɪlnə
трудом	trʊˈdom
наше	ˈnaʃɛ
ног	nok
никакой	nɪkɐˈkoj
война	vojˈna
зубы	ˈzubɨ
оба	oba
водой	vɐˈdoj
понимаешь	pənɪˈmajɪʂ
нужен	ˈnuʒɛn
вошел	
первым	ˈpervɨm
людьми	lʉdˈmi
власть	vɫast
минуты	mɪˈnutɨ
протянул	prətɪˈnuɫ
которому	
стене	stɪˈne
показал	pəkɐˈzaɫ
ваш	vaʂ
видели	viˈdɛli
области	ˈɔbɫasti
р	er
лейтенант	leitenant
история	iˈstɔrijɐ
ждал	ʐdaɫ
согласился	səɡɫɐˈsiɫsə
каком	kɐˈkom
ладно	ˈɫadnɔ
правильно	ˈpravɪlnə
семь	sem
го	ˈɡɔ
пальцем	ˈpalt͡sɨm
шла	ʂɫa
удивился	ʊdɪˈviɫsə
гораздо	ɡɐˈrazdə
наверно	nɐˈvernə
готов	ɡoˈtɔf
хотите	xɐˈtite
делает	ˈdeɫəjɪt
другу	ˈdruɡʊ
возможности	vɐzˈmoʐnəstɪ
давай	daˈvaj
порядке	pɐˈratke
комнаты	ˈkomnətɨ
друзья	drʊˈzja
спину	ˈspinʊ
положил	pəɫɐˈʐɨɫ
третий	ˈtretɪj
месяца	ˈmesɪt͡sə
пошла	ˈpɔʃɫa
делал	ˈdeɫəɫ
странно	ˈstranːə
читал	ˈt͡ʃitaɫ
душе	dʊˈʂɛ
тысячи	ˈtɨsɪt͡ɕɪ
прав	praf
отношения	ɐtnɐˈʂɛnɪjə
времена	vrɛmɛˈna
полностью	ˈpoɫnəstjʊ
прочим	ˈprot͡ɕɪm
скажу	skaˈʐu
помочь	pɐˈmot͡ɕ
весело	ˈvɛsɛɫɔ
плечо	plɪˈt͡ɕɵ
поздно	ˈpoznə
й	i
нечто	ˈnet͡ɕtə
ветер	ˈvɛtɛr
одновременно	ɐdnəvrɪˈmenːə
боли	ˈbɔli
ума	ˈuma
памяти	ˈpamɪtɪ
начали	ˈnat͡ɕɪlɪ
пора	ˈpɔrɐ
роль	rol
ходить	xɐˈdit
углу	ʊˈɡɫu
душу	dʊˈʂu
смерть	smert
наоборот	nɐɐbɐˈrot
мужчина	mʊˈɕːinə
предложил	prɪdɫɐˈʐɨɫ
пить	pit
грудь	ɡrut
интересно	inˈtɛɾɛsnɔ
голоса	ˈɡoɫəsə
тяжело	tɪʐɨˈɫo
оказывается	ɐˈkazɨvəjɪt͡sə
постоянно	pəstɐˈjanːə
новой	ˈnovəj
необходимо	nɪəpxɐˈdimə
группы	ˈɡrupːɨ
вышла	ˈvɨʂɫə
плечи	ˈplet͡ɕɪ
знают	ˈznajʊt
историю	ɪˈstorɪjʊ
книгу	ˈkniɡʊ
новых	ˈnovɨx
знала	ˈznaɫa
настолько	nɐˈstolkə
искать	ɪˈskat
женщин	ˈʐɛnɕːɪn
лично	ˈlit͡ʃno
нравится	ˈnravɪt͡sə
пару	ˈparʊ
силу	ˈsiɫʊ
жили	ˈʒili
любит	ˈlʉbɪt
повернулся	pəvɪrˈnuɫsə
положение	poɫoˈʒɛniɛ
зрения	ˈzrɛnijɐ
первую	
одному	ɐdnɐˈmu
стороне	stərɐˈne
метров	ˈmetrəf
сказали	skɐˈzalɪ
поводу	ˈpovədʊ
остается	
друзей	drʊˈzej
начинает	nət͡ɕɪˈnajɪt
утро	ˈutro
письма	pɪsˈma
появился	pəjɪˈviɫsə
недели	ˈnɛdɛli
состоянии	səstɐˈjænɪɪ
воде	vɐˈde
случайно	sɫoˈt͡ʃa̟jno
нашем	ˈnaʂɨm
столе	ˈstɔlɛ
дали	dɐˈli
воздухе	ˈvozdʊxe
огонь	ɐˈɡon
узнать	ʊzˈnat
решили	rɛˈʃili
можете	ˈmɔʒɛtɛ
света	ˈsvɛta
внутри	vnʊˈtri
следующий	ˈsledʊjʉɕːɪj
вслед	fslet
закричал	zəkrɪˈt͡ɕaɫ
ходу	ˈxodʊ
хватит	ˈxvatɪt
попал	pɐˈpaɫ
считать	ɕːɪˈtat
помощь	ˈpoməɕː
пытался	pɨˈtaɫsə
первые	ˈpervɨje
бумаги	bʊˈmaɡɪ
пришла	prɪʂˈɫa
нашу	ˈnaʂʊ
пальцами	ˈpalt͡səmɪ
лежит	lɪˈʐɨt
помощи	ˈpoməɕːɪ
ходил	ˈxɔdiɫ
дворе	dvɐˈre
повторил	pofˈtɔriɫ
можешь	ˈmoʐɨʂ
большие	ˈbolʂɨje
запах	ˈzapəx
работает	rɐˈbotəjɪt
вышли	ˈvɨʂlɪ
муж	muž
ваши	ˈvaʃi
кино	ˈkino
дому	ˈdomʊ
школе	ˈʂkole
словами	sɫɐˈvamɪ
леса	lɪˈsa
понятно	pɐˈnatnə
легче	ˈlext͡ɕe
революции	rɪvɐˈlut͡sɨɪ
долларов	ˈdoɫːərəf
написал	nɐˈpisɐɫ
впрочем	ˈfprɔt͡ʃɛm
прекрасно	ˈprɛkrasnɔ
труда	trʊˈda
временем	ˈvremɪnɪm
кстати	ˈkstatɪ
называется	nəzɨˈvajɪt͡sə
получить	pəɫʊˈt͡ɕit
результате	rɪzʊlˈtate
оказалась	ɐkɐˈzaɫəs
качестве	ˈkat͡ɕɪstve
насчет	
развития	rɐzˈvitɪjə
читать	t͡ɕɪˈtat
двор	dvor
войну	vɐjˈnu
похоже	pɐˈxoʐɨ
несмотря	nə
попросил	pəprɐˈsiɫ
приходилось	prɪxɐˈdiɫəs
сверху	ˈsverxʊ
естественно	jɪˈstestvɪnːə
самая	
днем	dnɛm
чай	čaj
представить	prɪt͡sˈtavɪt
ответила	ɐtˈvetɪɫə
некоторое	
числе	t͡ɕɪsˈle
машине	mɐˈʂɨne
ребенка	
начале	nɐˈt͡ɕæle
угодно	oˈɡɔdno
большим	ˈbolʂɨm
строго	ˈstrɔɡɔ
квартиру	kvɐrˈtirʊ
одни	ɐdˈni
верно	ˈvɛrnɔ
восемь	ˈvosɪm
степени	ˈstɛpɛni
постепенно	pəstɪˈpenːə
нужны	nʊʐˈnɨ
условиях	ʊsˈɫovɪjəx
смысл	smɨsɫ
память	ˈpamɪt
ближе	ˈbliʒɛ
навстречу	nɐfˈstret͡ɕʊ
последнее	pɐsˈlednɪje
столу	stɐˈɫu
пятьдесят	pɪdːɪˈsat
молчал	mɐɫˈt͡ɕaɫ
снял	snaɫ
ехать	ˈjexət
приехал	prɪˈjexəɫ
дает	
оказались	ɐkɐˈzalɪs
рассказал	rəskɐˈzaɫ
вечера	ˈvɛt͡ʃɛɾa
рассказывал	rɐˈskazɨvəɫ
упал	ʊˈpaɫ
добавил	dɐˈbavɪɫ
сидела	sɪˈdeɫə
мужа	ˈmuʐə
пишет	ˈpiʂɨt
смотрели	smɐˈtrelɪ
директор	diˈrɛktor
движения	dvɪˈʐɛnɪjə
помощью	ˈpoməɕːjʊ
улицы	ˈulɪt͡sɨ
остались	ɐˈstalɪs
войне	vɐjˈne
движение	dviˈʒɛniɛ
жены	ʐɨˈnɨ
хватает	xvɐˈtajɪt
больно	ˈbolnə
счастье	ˈɕːæstje
пришли	prɪʂˈli
серьезно	
умер	ˈumɪr
находится	nɐˈxodɪt͡sə
большая	bɐlˈʂajə
каждой	ˈkaʐdəj
боль	bol
существует	sʊɕːɪstˈvujɪt
вскоре	ˈfskore
приятно	prɪˈjatnə
наиболее	nəɪˈbolɪje
навсегда	nəfsɪɡˈda
поставил	pɐˈstavɪɫ
увидеть	ʊˈvidɪt
очереди	ˈot͡ɕɪrɪdɪ
дорогой	dərɐˈɡoj
некоторых	
достал	dɐˈstaɫ
государства	ɡəsʊˈdarstvə
хотела	xɐˈteɫə
х	ha
всяком	
квартире	kvɐrˈtire
хороший	xɐˈroʂɨj
действия	ˈdejstvɪjə
словом	ˈsɫovəm
состояние	səstɐˈjænɪje
напротив	nɐˈprɔtif
нужна	nʊʐˈna
случаях	ˈsɫut͡ɕɪjəx
пальцы	ˈpalt͡sɨ
горы	ɡɐˈrɨ
выходит	vɨˈxodɪt
сон	son
трое	ˈtroje
силой	ˈsiɫəj
рода	roˈda
причем	prɪˈt͡ɕɵm
